Episode,"Episode URL","Media URL","Release Date",Downloads,Date,"Average Downloads of Last 50 Episodes","Compare to Average"
"Romans 6:1-4, The Sanctified Life Pt. 1 | Romans Chapter 6",https://broJacobcedargrovebaptist.podbean.com/e/the-sanctified-life-romans/,https://mcdn.podbean.com/mf/web/gdg5stwifh4kxqgs/68PCbtmou.mp3,2025-06-08,4,"day1 - day7",7,-42.86%
"Romans 5:16-17, Much More Pt. 4 | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/title-much-more-pt-4-romans/,https://mcdn.podbean.com/mf/web/r86jjzkikexazgn6/61PodCast7fk6t.mp3,2025-06-01,0,"day1 - day7",7,-100%
"Romans 5:15, Much More Pt. 3 | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/much-more-3-romans/,https://mcdn.podbean.com/mf/web/hzu8iwpgym9mkmjf/525Podcast7jq61.mp3,2025-05-25,6,"day1 - day7",7,-14.29%
"There Will Come A Time... | 2025 Specials",https://broJacobcedargrovebaptist.podbean.com/e/there-will-come-a-time/,https://mcdn.podbean.com/mf/web/asag9r5id7wnq7fr/511Audiobf88q.mp3,2025-05-11,10,"day1 - day7",7,42.86%
"Romans 5:12-14, Much More Pt.2 | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/much-more-pt2-romans/,https://mcdn.podbean.com/mf/web/cc997wd4ww62cawr/54Audio72e99.mp3,2025-05-04,0,"day1 - day7",7,-100%
"Romans 5:12, Much More Pt. 1 | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/much-more-romans/,https://mcdn.podbean.com/mf/web/4ak7bu3y4hqdzu75/427Audio8uqh7.mp3,2025-04-27,9,"day1 - day7",7,28.57%
"The Empty Tomb Changes Everything | 2025 Specials",https://broJacobcedargrovebaptist.podbean.com/e/the-empty-tomb-changes-everything-2025-specials/,https://mcdn.podbean.com/mf/web/4v5t9vjjpqi6mbt4/420bh2yi.mp3,2025-04-20,5,"day1 - day7",7,-28.57%
"Romans 5:9-11, Perfect Love Pt. 2 (Purpose) | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/perfect-love-2-gods-perfect-purpose-romans/,https://mcdn.podbean.com/mf/web/f3fjckajweg3qzwi/32FullWideSF_19hxmt.mp3,2025-04-06,7,"day1 - day7",7,0%
"Romans 5:6, Perfect Love Pt. 1 (Timing) | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/perfect-love-1-perfect-timing-romans/,https://mcdn.podbean.com/mf/web/4td2xs4296szecrg/316FullWideSF6notf.mp3,2025-03-16,9,"day1 - day7",7,28.57%
"Romans 5:5, Gospel Dividends Pt. 3: The Holy Spirit I Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/gospel-dividends-3-the-holy-spirit-i-romans/,https://mcdn.podbean.com/mf/web/6f42mgzendxnmnj6/39PC9juar.mp3,2025-03-09,3,"day1 - day7",7,-57.14%
"Romans 5:3-4, Gospel Dividends Pt. 2: Access Hope | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/gospel-dividends-2-access-hope-romans/,https://mcdn.podbean.com/mf/web/b6gbr9rdesdwz6ys/32FullWideSF_PCbhzf9.mp3,2025-03-02,0,"day1 - day7",7,-100%
"Romans 5:1-5, Gospel Dividends Pt. 1 | Romans Chapter 5",https://broJacobcedargrovebaptist.podbean.com/e/gospel-dividends-romans/,https://mcdn.podbean.com/mf/web/sbf7gnczxng46r9d/223FullWideSFaudio73vbg.mp3,2025-02-23,3,"day1 - day7",7,-57.14%
"Romans 4:18-25, Being Fully Persuaded | Romans Chapter 4",https://broJacobcedargrovebaptist.podbean.com/e/being-fully-persuaded-romans/,https://mcdn.podbean.com/mf/web/ykig7edwr5r36mea/216PC6uy27.mp3,2025-02-16,6,"day1 - day7",7,-14.29%
"Romans 4:9-17, By Faith Pt. 2 | Romans Chapter 4",https://broJacobcedargrovebaptist.podbean.com/e/by-faith-pt-2-romans/,https://mcdn.podbean.com/mf/web/39sz8pbj3cajn2za/29PC7su9k.mp3,2025-02-09,10,"day1 - day7",7,42.86%
"Romans 4:1-8, By Faith Pt.1 | Romans Chapter 4",https://broJacobcedargrovebaptist.podbean.com/e/by-faith-romans/,https://mcdn.podbean.com/mf/web/vgvzq8y38zt65u6t/131Audioab43a.mp3,2025-02-02,4,"day1 - day7",7,-42.86%
"Pt. 5 Heart of Evangelism | Reprioritize 2025",https://broJacobcedargrovebaptist.podbean.com/e/heart-of-evangelism-reprioritize-2025/,https://mcdn.podbean.com/mf/web/vuqmy3t996i452ba/126audio6cmwg.mp3,2025-01-26,6,"day1 - day7",7,-14.29%
"Pt. 4 Serving Others | Reprioritize 2025",https://broJacobcedargrovebaptist.podbean.com/e/serving-others-reprioritize-2025/,https://mcdn.podbean.com/mf/web/ivjn5zc6x5w3xmzu/119audio88j56.mp3,2025-01-19,5,"day1 - day7",7,-28.57%
"Pt. 3 Prideful Problems | Reprioritize 2025",https://broJacobcedargrovebaptist.podbean.com/e/prideful-problems-reprioritize-2025/,https://mcdn.podbean.com/mf/web/km7qptqgj8c9cthw/112Nick9lnlm.mp3,2025-01-12,4,"day1 - day7",7,-42.86%
"Pt. 2 Go, Make It Right | Reprioritize 2025",https://broJacobcedargrovebaptist.podbean.com/e/go-make-it-right-reprioritize-2025/,https://mcdn.podbean.com/mf/web/79j4gcwwgwxyjab4/128amh7j.mp3,2025-01-05,4,"day1 - day7",7,-42.86%
"Pt. 1 Spiritual Purity | Reprioritize 2025",https://broJacobcedargrovebaptist.podbean.com/e/reprioritize-2025-pt1-spiritual-purity/,https://mcdn.podbean.com/mf/web/hka45nqdctuyjfrq/1229PodCast7ajmg.mp3,2024-12-29,6,"day1 - day7",7,-14.29%
"Christmas in the Grove 2024 | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/christmas-in-the-grove-2024/,https://mcdn.podbean.com/mf/web/6bpiz3vaj3jabwg6/Untitled_Project655yd.mp3,2024-12-24,3,"day1 - day7",7,-57.14%
"The True Light | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/the-true-light/,https://mcdn.podbean.com/mf/web/5nv5wrg24cam4m8n/12_22_24_The_True_Light668zj.mp3,2024-12-22,3,"day1 - day7",7,-57.14%
"Romans 3:21-26, Thankful For The ""CAN'T"" Pt. 3 | Romans Chapter 3",https://broJacobcedargrovebaptist.podbean.com/e/thankful-for-the-cant-pt-3/,https://mcdn.podbean.com/mf/web/2fq6ucd6umd8jen2/1215Podcast9dam7.mp3,2024-12-15,6,"day1 - day7",7,-14.29%
"Romans 3:21-26, Thankful For The ""CAN'T"" Pt. 2 | Romans Chapter 3",https://broJacobcedargrovebaptist.podbean.com/e/12082024-thankful-for-the-cant-pt-2/,https://mcdn.podbean.com/mf/web/fnuqaehim4hgpu6c/12_08_24_Thankful_for_The_CAN_T_Pt_283d3e.m4a,2024-12-08,6,"day1 - day7",7,-14.29%
"Stand Up In the Battle (9th Edition) | 2024 Specials",https://broJacobcedargrovebaptist.podbean.com/e/stand-up-in-the-battle-9th-edition/,https://mcdn.podbean.com/mf/web/uvvjjckyhzy3fjc4/1216rb5c.mp3,2024-12-01,7,"day1 - day7",7,0%
